"","geneId","geneSymbol","DSI","DPI","diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","score","EI","YearInitial","YearFinal","NofPmids","NofSnps","source"
"1",2,"A2M",0.529,0.769,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2012,2012,1,0,"BEFREE"
"2",13,"AADAC",0.631,0.615,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2018,2019,2,0,"BEFREE"
"3",17,"AAVS1",0.595,0.731,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2015,2015,1,0,"BEFREE"
"4",19,"ABCA1",0.467,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"5",25,"ABL1",0.432,0.923,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"6",31,"ACACA",0.48,0.846,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"7",47,"ACLY",0.563,0.692,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"8",49,"ACR",0.493,0.846,"C0027543","Avascular necrosis of bone","phenotype","C23;C05","Disease or Syndrome",0.01,1,2017,2017,1,0,"BEFREE"
"9",54,"ACP5",0.561,0.731,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"10",55,"ACP3",0.525,0.731,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"11",55,"ACP3",0.525,0.731,"C4076240","Chronic kidney disease mineral and bone disorder","disease","C18;C13;C05;C12;C19","Disease or Syndrome",0.01,1,2017,2017,1,0,"BEFREE"
"12",60,"ACTB",0.325,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.1,1,1984,2019,10,0,"BEFREE"
"13",72,"ACTG2",0.505,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2013,2013,1,0,"BEFREE"
"14",81,"ACTN4",0.508,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"15",86,"ACTL6A",0.678,0.346,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"16",90,"ACVR1",0.535,0.731,"C4024082","Abnormality of the first metatarsal bone","disease","","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"17",98,"ACYP2",0.659,0.577,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,1,"BEFREE"
"18",100,"ADA",0.44,0.885,"C4020847","Abnormality of pelvic girdle bone morphology","disease","","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"19",101,"ADAM8",0.59,0.731,"C0238790","bone destruction","disease","","Disease or Syndrome",0.01,1,2009,2009,1,0,"BEFREE"
"20",132,"ADK",0.584,0.769,"C0238790","bone destruction","disease","","Disease or Syndrome",0.01,1,2004,2004,1,0,"BEFREE"
"21",133,"ADM",0.436,0.808,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2014,2014,1,0,"BEFREE"
"22",133,"ADM",0.436,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.03,1,2015,2019,3,0,"BEFREE"
"23",140,"ADORA3",0.682,0.5,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"24",142,"PARP1",0.389,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.07,1,2001,2019,7,0,"BEFREE"
"25",148,"ADRA1A",0.462,0.846,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"26",151,"ADRA2B",0.465,0.846,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"27",154,"ADRB2",0.442,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2015,2015,1,0,"BEFREE"
"28",156,"GRK2",0.532,0.654,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"29",165,"AEBP1",0.631,0.654,"C1838186","Squared iliac bones","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"30",174,"AFP",0.429,0.885,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.02,1,2017,2019,2,0,"BEFREE"
"31",175,"AGA",0.57,0.808,"C0541764","Delayed bone age","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"32",175,"AGA",0.57,0.808,"C4021741","Abnormal cortical bone morphology","disease","","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"33",176,"ACAN",0.528,0.846,"C0541764","Delayed bone age","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"34",176,"ACAN",0.528,0.846,"C0545053","Advanced bone age","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"35",177,"AGER",0.42,0.885,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"36",177,"AGER",0.42,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"37",182,"JAG1",0.429,0.808,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.03,1,2017,2019,3,0,"BEFREE"
"38",182,"JAG1",0.429,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.03,1,2017,2017,3,0,"BEFREE"
"39",183,"AGT",0.367,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"40",185,"AGTR1",0.423,0.846,"C0268414","Hyperphosphatasemia with bone disease","disease","C05","Disease or Syndrome",0.01,1,2019,2019,1,0,"BEFREE"
"41",185,"AGTR1",0.423,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2017,2018,2,0,"BEFREE"
"42",187,"APLNR",0.588,0.692,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"43",190,"NR0B1",0.494,0.808,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"44",190,"NR0B1",0.494,0.808,"C0541764","Delayed bone age","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"45",196,"AHR",0.41,0.923,"C0238790","bone destruction","disease","","Disease or Syndrome",0.01,1,2018,2018,1,0,"BEFREE"
"46",196,"AHR",0.41,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2018,2019,2,0,"BEFREE"
"47",197,"AHSG",0.506,0.846,"C0541764","Delayed bone age","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"48",207,"AKT1",0.311,0.962,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.03,1,2006,2015,3,0,"BEFREE"
"49",207,"AKT1",0.311,0.962,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.1,1,2012,2020,43,0,"BEFREE"
"50",207,"AKT1",0.311,0.962,"C4021785","Abnormality of the metacarpal bones","disease","C05","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"51",208,"AKT2",0.474,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.04,1,2011,2017,4,0,"BEFREE"
"52",213,"ALB",0.317,0.962,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"53",213,"ALB",0.317,0.962,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.06,1,2003,2019,6,0,"BEFREE"
"54",213,"ALB",0.317,0.962,"C4076240","Chronic kidney disease mineral and bone disorder","disease","C18;C13;C05;C12;C19","Disease or Syndrome",0.02,1,2019,2019,2,0,"BEFREE"
"55",214,"ALCAM",0.502,0.808,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.02,1,2010,2014,2,0,"BEFREE"
"56",214,"ALCAM",0.502,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"57",216,"ALDH1A1",0.46,0.846,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"58",216,"ALDH1A1",0.46,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.04,1,2015,2019,4,0,"BEFREE"
"59",216,"ALDH1A1",0.46,0.846,"C0595905","cortex bone disorders","disease","C05","Disease or Syndrome",0.01,1,2018,2018,1,0,"BEFREE"
"60",217,"ALDH2",0.457,0.885,"C0027543","Avascular necrosis of bone","phenotype","C23;C05","Disease or Syndrome",0.01,1,2005,2005,1,0,"BEFREE"
"61",219,"ALDH1B1",0.691,0.462,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"62",226,"ALDOA",0.631,0.615,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2014,2014,1,0,"BEFREE"
"63",238,"ALK",0.396,0.846,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"64",238,"ALK",0.396,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.03,1,2018,2019,3,0,"BEFREE"
"65",240,"ALOX5",0.447,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,1988,1990,2,0,"BEFREE"
